Down,Score Differential,Current Quarter,Offense SP+,Offense SP+ Rank,Rush Efficiency,Rush Rank,Pass Efficiency,Pass Rank,Rush Grade,Pass Grade,Opponent Play,Yards-To-Go,Yards-To-Goal,Yards Gained,Location,Result
3,-3,2,45.9,3,5.9,7,9.3,9,10,12,Run,1,80,0,Neutral,Non-Conversion
3,1,3,45.9,3,5.9,7,9.3,9,10,12,Pass,2,12,12,Neutral,Conversion
3,-6,3,45.9,3,5.9,7,9.3,9,10,12,Run,4,48,10,Neutral,Conversion
3,-6,3,45.9,3,5.9,7,9.3,9,10,12,Pass,18,46,9,Neutral,Non-Conversion
3,-6,3,45.9,3,5.9,7,9.3,9,10,12,Pass,2,2,1,Neutral,Conversion
3,-6,3,45.9,3,5.9,7,9.3,9,10,12,Run,1,1,0,Neutral,Non-Conversion
3,-6,4,45.9,3,5.9,7,9.3,9,10,12,Pass,11,61,15,Neutral,Conversion
3,-6,4,45.9,3,5.9,7,9.3,9,10,12,Pass,9,24,24,Neutral,Conversion
3,-12,4,45.9,3,5.9,7,9.3,9,10,12,Pass,4,60,22,Neutral,Conversion
3,-12,4,45.9,3,5.9,7,9.3,9,10,12,Run,5,33,33,Neutral,Conversion
3,0,1,41.3,8,4.8,39,7.6,51,47,59,Run,7,84,8,Home,Conversion
3,0,1,41.3,8,4.8,39,7.6,51,47,59,Pass,11,77,7,Home,Non-Conversion
3,0,1,41.3,8,4.8,39,7.6,51,47,59,Pass,10,92,3,Home,Non-Conversion
3,3,1,41.3,8,4.8,39,7.6,51,47,59,Pass,6,72,10,Home,Conversion
3,-4,1,41.3,8,4.8,39,7.6,51,47,59,Run,10,34,-5,Home,Non-Conversion
3,-4,2,41.3,8,4.8,39,7.6,51,47,59,Pass,7,22,22,Home,Conversion
3,-11,2,41.3,8,4.8,39,7.6,51,47,59,Pass,3,84,0,Home,Non-Conversion
3,-11,2,41.3,8,4.8,39,7.6,51,47,59,Pass,10,54,41,Home,Conversion
3,-11,2,41.3,8,4.8,39,7.6,51,47,59,Run,1,4,4,Home,Conversion
3,-11,2,41.3,8,4.8,39,7.6,51,47,59,Pass,4,69,0,Home,Non-Conversion
3,-11,3,41.3,8,4.8,39,7.6,51,47,59,Pass,10,66,12,Home,Conversion
3,-11,3,41.3,8,4.8,39,7.6,51,47,59,Pass,3,47,3,Home,Conversion
3,-18,3,41.3,8,4.8,39,7.6,51,47,59,Pass,9,22,12,Home,Conversion
3,-18,3,41.3,8,4.8,39,7.6,51,47,59,Pass,4,4,4,Home,Conversion
3,-18,4,41.3,8,4.8,39,7.6,51,47,59,Run,2,41,3,Home,Conversion
3,-18,4,41.3,8,4.8,39,7.6,51,47,59,Run,7,35,8,Home,Conversion
3,-18,4,41.3,8,4.8,39,7.6,51,47,59,Pass,5,22,0,Home,Non-Conversion
3,-21,4,41.3,8,4.8,39,7.6,51,47,59,Run,18,39,6,Home,Non-Conversion
3,0,1,36.4,21,4.5,53,8.1,31,74,52,Pass,5,50,12,Home,Conversion
3,0,1,36.4,21,4.5,53,8.1,31,74,52,Pass,3,31,8,Home,Conversion
3,0,1,36.4,21,4.5,53,8.1,31,74,52,Pass,2,2,2,Home,Conversion
3,-7,2,36.4,21,4.5,53,8.1,31,74,52,Run,2,72,0,Home,Non-Conversion
3,0,2,36.4,21,4.5,53,8.1,31,74,52,Run,7,35,12,Home,Conversion
3,0,2,36.4,21,4.5,53,8.1,31,74,52,Run,6,7,6,Home,Conversion
3,-7,3,36.4,21,4.5,53,8.1,31,74,52,Pass,8,74,-6,Home,Sack
3,-7,3,36.4,21,4.5,53,8.1,31,74,52,Pass,8,17,0,Home,Non-Conversion
3,-10,3,36.4,21,4.5,53,8.1,31,74,52,Pass,4,69,7,Home,Conversion
3,-10,3,36.4,21,4.5,53,8.1,31,74,52,Run,5,57,-1,Home,Non-Conversion
3,-3,4,36.4,21,4.5,53,8.1,31,74,52,Pass,7,75,0,Home,Non-Conversion
3,4,4,36.4,21,4.5,53,8.1,31,74,52,Pass,11,76,Intercepted(0),Home,Interception
3,7,1,8,135,4.3,77,6,120,212,255,Pass,7,77,0,Home,Non-Conversion
3,14,1,8,135,4.3,77,6,120,212,255,Pass,7,72,-2,Home,Sack
3,14,1,8,135,4.3,77,6,120,212,255,Run,12,97,-1,Home,Non-Conversion
3,21,1,8,135,4.3,77,6,120,212,255,Pass,13,78,9,Home,Non-Conversion
3,28,2,8,135,4.3,77,6,120,212,255,Run,16,52,17,Home,Conversion
3,28,2,8,135,4.3,77,6,120,212,255,Pass,6,31,0,Home,Non-Conversion
4,28,2,8,135,4.3,77,6,120,212,255,Pass,6,31,0,Home,Non-Conversion
3,35,2,8,135,4.3,77,6,120,212,255,Run,9,31,6,Home,Non-Conversion
3,42,2,8,135,4.3,77,6,120,212,255,Pass,6,64,0,Home,Non-Conversion
3,49,2,8,135,4.3,77,6,120,212,255,Run,10,75,5,Home,Non-Conversion
3,49,3,8,135,4.3,77,6,120,212,255,Pass,7,72,0,Home,Non-Conversion
3,56,3,8,135,4.3,77,6,120,212,255,Pass,10,81,3,Home,Non-Conversion
3,56,3,8,135,4.3,77,6,120,212,255,Pass,15,21,0,Home,Non-Conversion
3,53,4,8,135,4.3,77,6,120,212,255,Pass,2,63,0,Home,Non-Conversion
4,53,4,8,135,4.3,77,6,120,212,255,Run,2,63,4,Home,Conversion
3,53,4,8,135,4.3,77,6,120,212,255,Run,7,56,12,Home,Conversion
3,53,4,8,135,4.3,77,6,120,212,255,Pass,10,44,-5,Home,Sack
3,60,4,8,135,4.3,77,6,120,212,255,Run,8,65,16,Home,Conversion
3,60,4,8,135,4.3,77,6,120,212,255,Pass,3,27,2,Home,Non-Conversion
4,60,4,8,135,4.3,77,6,120,212,255,Run,1,25,13,Home,Conversion
3,0,1,25,97,2.8,129,7.1,75,226,172,Run,23,88,4,Away,Non-Conversion
3,0,1,25,97,2.8,129,7.1,75,226,172,Pass,7,92,-4,Away,Sack
3,0,1,25,97,2.8,129,7.1,75,226,172,Pass,7,95,4,Away,Conversion
3,0,1,25,97,2.8,129,7.1,75,226,172,Pass,11,82,10,Away,Conversion
3,0,1,25,97,2.8,129,7.1,75,226,172,Pass,5,67,0,Away,Non-Conversion
3,3,2,25,97,2.8,129,7.1,75,226,172,Run,2,83,1,Away,Non-Conversion
3,10,2,25,97,2.8,129,7.1,75,226,172,Pass,10,75,0,Away,Non-Conversion
3,10,2,25,97,2.8,129,7.1,75,226,172,Pass,10,82,0,Away,Non-Conversion
3,13,2,25,97,2.8,129,7.1,75,226,172,Run,10,65,11,Away,Conversion
3,6,2,25,97,2.8,129,7.1,75,226,172,Pass,10,67,-4,Away,Sack
3,13,3,25,97,2.8,129,7.1,75,226,172,Pass,3,68,0,Away,Non-Conversion
3,13,3,25,97,2.8,129,7.1,75,226,172,Pass,6,76,-2,Away,Fumble
3,20,3,25,97,2.8,129,7.1,75,226,172,Pass,10,33,-3,Away,Sack
4,20,3,25,97,2.8,129,7.1,75,226,172,Run,13,36,32,Away,Conversion
3,20,4,25,97,2.8,129,7.1,75,226,172,Pass,9,26,0,Away,Non-Conversion
4,20,4,25,97,2.8,129,7.1,75,226,172,Pass,9,26,Intercepted(-44),Away,Interception
3,20,4,25,97,2.8,129,7.1,75,226,172,Pass,13,96,3,Away,Non-Conversion
3,27,4,25,97,2.8,129,7.1,75,226,172,Run,8,76,7,Away,Non-Conversion
4,27,4,25,97,2.8,129,7.1,75,226,172,Run,1,69,4,Away,Conversion
3,0,1,35.5,25,4.8,41,8.2,25,66,50,Run,1,38,0,Neutral,Non-Conversion
4,0,1,35.5,25,4.8,41,8.2,25,66,50,Run,1,38,0,Neutral,Non-Conversion
3,0,1,35.5,25,4.8,41,8.2,25,66,50,Pass,4,89,27,Neutral,Conversion
3,0,1,35.5,25,4.8,41,8.2,25,66,50,Pass,9,61,-7,Neutral,Sack
3,3,1,35.5,25,4.8,41,8.2,25,66,50,Pass,10,75,11,Neutral,Conversion
3,3,1,35.5,25,4.8,41,8.2,25,66,50,Run,1,12,3,Neutral,Conversion
3,-1,2,35.5,25,4.8,41,8.2,25,66,50,Run,8,73,7,Neutral,Non-Conversion
3,-1,2,35.5,25,4.8,41,8.2,25,66,50,Run,14,34,-5,Neutral,Non-Conversion
3,3,2,35.5,25,4.8,41,8.2,25,66,50,Pass,7,46,9,Neutral,Conversion
3,3,2,35.5,25,4.8,41,8.2,25,66,50,Pass,7,34,0,Neutral,Non-Conversion
3,3,3,35.5,25,4.8,41,8.2,25,66,50,Run,2,44,5,Neutral,Conversion
3,10,3,35.5,25,4.8,41,8.2,25,66,50,Pass,10,75,-5,Neutral,Sack
3,17,3,35.5,25,4.8,41,8.2,25,66,50,Pass,5,49,11,Neutral,Conversion
3,17,4,35.5,25,4.8,41,8.2,25,66,50,Pass,8,8,0,Neutral,Non-Conversion
3,21,4,35.5,25,4.8,41,8.2,25,66,50,Pass,14,57,0,Neutral,Non-Conversion
3,26,4,35.5,25,4.8,41,8.2,25,66,50,Pass,10,45,-10,Neutral,Sack
4,26,4,35.5,25,4.8,41,8.2,25,66,50,Pass,10,45,0,Neutral,Non-Conversion
3,0,1,27.9,93,3.9,96,7.5,58,189,151,Pass,12,24,10,Neutral,Non-Conversion
3,4,1,27.9,93,3.9,96,7.5,58,189,151,Run,22,87,8,Neutral,Non-Conversion
3,4,2,27.9,93,3.9,96,7.5,58,189,151,Run,17,98,5,Neutral,Non-Conversion
3,4,2,27.9,93,3.9,96,7.5,58,189,151,Pass,7,25,0,Neutral,Non-Conversion
3,1,2,27.9,93,3.9,96,7.5,58,189,151,Pass,15,74,18,Neutral,Conversion
3,1,2,27.9,93,3.9,96,7.5,58,189,151,Run,1,47,1,Neutral,Conversion
3,-6,3,27.9,93,3.9,96,7.5,58,189,151,Run,10,95,-1,Neutral,Non-Conversion
3,-3,3,27.9,93,3.9,96,7.5,58,189,151,Run,10,73,15,Neutral,Conversion
3,-3,3,27.9,93,3.9,96,7.5,58,189,151,Pass,21,69,-2,Neutral,Sack
3,-3,4,27.9,93,3.9,96,7.5,58,189,151,Run,7,22,6,Neutral,Non-Conversion
3,-3,4,27.9,93,3.9,96,7.5,58,189,151,Pass,11,11,0,Neutral,Non-Conversion
3,4,4,27.9,93,3.9,96,7.5,58,189,151,Pass,11,32,2,Neutral,Non-Conversion
4,4,4,27.9,93,3.9,96,7.5,58,189,151,Pass,9,30,-6,Neutral,Sack
3,4,4,27.9,93,3.9,96,7.5,58,189,151,Pass,27,57,-7,Neutral,Sack
4,4,4,27.9,93,3.9,96,7.5,58,189,151,Pass,34,64,14,Neutral,Conversion
3,4,4,27.9,93,3.9,96,7.5,58,189,151,Pass,12,51,15,Neutral,Conversion
3,4,4,27.9,93,3.9,96,7.5,58,189,151,Pass,12,26,0,Neutral,Non-Conversion
4,4,4,27.9,93,3.9,96,7.5,58,189,151,Pass,12,26,0,Neutral,Non-Conversion
3,0,1,13,125,3.7,110,7.7,54,235,179,Run,13,78,-2,Home,Non-Conversion
3,3,1,13,125,3.7,110,7.7,54,235,179,Run,2,72,7,Home,Conversion
3,3,1,13,125,3.7,110,7.7,54,235,179,Pass,9,64,7,Home,Non-Conversion
3,3,2,13,125,3.7,110,7.7,54,235,179,Pass,12,55,12,Home,Conversion
3,3,2,13,125,3.7,110,7.7,54,235,179,Pass,11,44,-5,Home,Sack
3,10,2,13,125,3.7,110,7.7,54,235,179,Pass,5,70,0,Home,Non-Conversion
3,17,2,13,125,3.7,110,7.7,54,235,179,Pass,6,71,8,Home,Conversion
3,17,2,13,125,3.7,110,7.7,54,235,179,Pass,22,41,-4,Home,Sack
3,24,3,13,125,3.7,110,7.7,54,235,179,Pass,8,73,3,Home,Non-Conversion
3,31,3,13,125,3.7,110,7.7,54,235,179,Run,13,66,12,Home,Non-Conversion
3,31,3,13,125,3.7,110,7.7,54,235,179,Run,1,54,-3,Home,Non-Conversion
3,38,4,13,125,3.7,110,7.7,54,235,179,Run,3,68,48,Home,Conversion
3,38,4,13,125,3.7,110,7.7,54,235,179,Pass,5,92,29,Home,Conversion
3,38,4,13,125,3.7,110,7.7,54,235,179,Pass,10,63,-2,Home,Sack
3,45,4,13,125,3.7,110,7.7,54,235,179,Run,7,63,-2,Home,Non-Conversion
3,0,1,28.9,65,6.4,3,6,117,68,182,Run,1,66,-3,Away,Fumble
3,7,1,28.9,65,6.4,3,6,117,68,182,Pass,21,90,23,Away,Conversion
3,7,1,28.9,65,6.4,3,6,117,68,182,Pass,8,65,10,Away,Conversion
3,7,2,28.9,65,6.4,3,6,117,68,182,Pass,9,26,26,Away,Conversion
3,0,2,28.9,65,6.4,3,6,117,68,182,Run,5,16,5,Away,Conversion
3,-7,2,28.9,65,6.4,3,6,117,68,182,Pass,7,65,9,Away,Conversion
3,-7,2,28.9,65,6.4,3,6,117,68,182,Pass,10,56,0,Away,Non-Conversion
3,-7,3,28.9,65,6.4,3,6,117,68,182,Run,1,66,3,Away,Conversion
3,-7,3,28.9,65,6.4,3,6,117,68,182,Run,4,34,21,Away,Conversion
3,-11,3,28.9,65,6.4,3,6,117,68,182,Pass,8,60,13,Away,Conversion
3,-11,3,28.9,65,6.4,3,6,117,68,182,Run,1,38,0,Away,Non-Conversion
4,-11,4,28.9,65,6.4,3,6,117,68,182,Run,1,38,0,Away,Non-Conversion
3,-5,4,28.9,65,6.4,3,6,117,68,182,Pass,8,73,6,Away,Non-Conversion
3,1,4,28.9,65,6.4,3,6,117,68,182,Run,2,18,1,Away,Non-Conversion
3,8,4,28.9,65,6.4,3,6,117,68,182,Pass,10,75,6,Away,Non-Conversion
4,8,4,28.9,65,6.4,3,6,117,68,182,Pass,4,69,10,Away,Conversion
3,8,4,28.9,65,6.4,3,6,117,68,182,Pass,10,59,Intercepted(0),Away,Interception
3,7,1,27.8,75,4.1,82,8.1,34,157,109,Pass,4,69,27,Home,Conversion
3,7,1,27.8,75,4.1,82,8.1,34,157,109,Pass,14,46,2,Home,Non-Conversion
3,7,1,27.8,75,4.1,82,8.1,34,157,109,Pass,3,3,Intercepted(3),Home,Interception
3,7,2,27.8,75,4.1,82,8.1,34,157,109,Pass,14,82,19,Home,Conversion
3,7,2,27.8,75,4.1,82,8.1,34,157,109,Pass,7,60,Intercepted(0),Home,Interception
3,10,2,27.8,75,4.1,82,8.1,34,157,109,Run,16,81,4,Home,Non-Conversion
3,10,2,27.8,75,4.1,82,8.1,34,157,109,Pass,8,77,0,Home,Non-Conversion
3,17,3,27.8,75,4.1,82,8.1,34,157,109,Pass,12,37,17,Home,Conversion
3,17,3,27.8,75,4.1,82,8.1,34,157,109,Pass,10,20,-3,Home,Sack
3,21,3,27.8,75,4.1,82,8.1,34,157,109,Pass,10,75,Intercepted(0),Home,Interception
3,21,3,27.8,75,4.1,82,8.1,34,157,109,Run,1,76,4,Home,Conversion
3,21,3,27.8,75,4.1,82,8.1,34,157,109,Pass,4,66,0,Home,Non-Conversion
3,28,4,27.8,75,4.1,82,8.1,34,157,109,Pass,5,70,-1,Home,Sack
3,7,1,13,125,4.7,49,7.9,42,174,167,Run,7,58,8,Home,Conversion
3,7,1,13,125,4.7,49,7.9,42,174,167,Run,9,33,11,Home,Conversion
3,7,1,13,125,4.7,49,7.9,42,174,167,Run,10,22,-3,Home,Fumble
3,10,2,13,125,4.7,49,7.9,42,174,167,Run,1,25,3,Home,Conversion
3,10,2,13,125,4.7,49,7.9,42,174,167,Pass,3,15,0,Home,Non-Conversion
3,17,2,13,125,4.7,49,7.9,42,174,167,Pass,5,70,6,Home,Conversion
